patient_id,HALLMARK_E2F_TARGETS,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_MYC_TARGETS_V1
TCGA-OL-A5RV,-1.0732612940409345,0.2256906770575275,0.028922857792587086,-0.523972392308711
TCGA-A2-A04U,1.4159850290624094,-0.2871581057963768,-1.2860857908038115,2.4695140393890065
TCGA-A2-A3XV,0.19459676192668815,-1.0596358619513386,-1.2755217547006108,2.330665969644778
TCGA-A7-A3IZ,0.37404473385404324,-1.6069631020096447,-1.609569734562466,-0.9580842534615581
TCGA-D8-A1Y2,-0.0022909473324232315,1.238848973233325,1.5899883478108139,1.243646866596625
TCGA-E9-A229,-0.043047105331932026,1.1892983900669045,-0.002396862622782809,-0.8204039675200985
TCGA-A7-A4SB,0.18240526974929738,-0.5742248961234512,-1.1300970553223237,-1.1777326948479185
TCGA-BH-A0HK,-0.5515618167272078,0.3354896186063931,0.4515258643858832,0.8882189140155806
TCGA-3C-AAAU,0.4900056731337633,-1.0866210096273912,-1.854500198755301,-0.7271143884513028
TCGA-E2-A14Z,0.3194011165356408,0.30922353199657254,0.8617052875848888,1.0148771491680961
TCGA-A2-A3XW,-0.7734778856669612,-0.08051759803045515,0.7314855506570592,0.27769466839280155
TCGA-D8-A1Y1,0.6797187392889397,1.00216593491342,-0.37885630178257823,0.5961540678386612
TCGA-AC-A7VB,1.025880941123156,-2.3093785357374834,-2.5804471359197705,0.5415840599495391
TCGA-B6-A0RO,-0.7405734310677746,-1.5887220426358888,-1.2958868543595488,-0.5932754234151542
TCGA-A2-A04P,0.7382807505467301,-0.11164272561634482,0.9667792908266146,1.2722472388078618
TCGA-A7-A13E,0.7087420545583288,-0.4898928989567469,-0.9128717183921569,0.29542730602707207
TCGA-A7-A0D9,-0.7585992544372446,-0.08845420593881533,-1.3702983973774656,-1.209773201270761
TCGA-E2-A14R,1.5919357559118366,-1.4057961677190491,0.1717731146695588,1.9039825148000176
TCGA-GM-A3XN,-1.0040189008063127,1.1622017701217584,0.7389164130932073,-0.30454041766410594
TCGA-A8-A06Y,-0.8051183225002225,-1.5624038363471888,-1.6399780458465614,-0.2749283526273093
TCGA-E2-A1IK,-0.7328391977676768,-1.4242007808255577,0.11013739452084048,0.4606853098442456
TCGA-E2-A1IU,-0.5175022316604067,-0.8023393884372702,-0.6002766292214979,-0.6869262777045663
TCGA-BH-A0E2,0.6059831779081696,0.9157463377459819,0.08619822374850954,0.8340510682657171
TCGA-A2-A0CZ,-1.548615708096178,1.5947641200147704,0.8098720953486582,0.20775768352562482
TCGA-AR-A2LE,-0.7494499914960819,-0.4675955810298085,-0.441772604840437,0.34051499708681704
TCGA-A8-A0A1,-0.18037150498430246,0.5999603870451486,0.6610888646426994,-0.9499244602613482
TCGA-E2-A1L7,1.674036072395882,0.13457970786243412,0.14266667573311523,1.2448011771573562
TCGA-E2-A14T,0.2356912289585783,-0.7162590857541993,-1.3069883718080562,-0.16207189620538515
TCGA-AC-A5EH,0.15400324575571472,1.0457553299573668,0.6425077256890407,0.6747538879514261
TCGA-GM-A2DM,-1.1013901736136944,-0.9330104715408318,0.3138762879947238,-0.42613473488953846
TCGA-A2-A0D4,1.2457154762503542,-1.2472192633213712,-1.476875910101706,0.11534014203051945
TCGA-BH-A0B1,0.36027529789921325,0.3247479911084754,-0.23266231204760413,-0.7856226982204397
TCGA-AO-A12F,1.210292366258373,0.5997870696165013,-0.24664692210347255,1.6916308847059336
TCGA-AC-A3HN,-0.6919203993075753,1.2277695719299013,0.6634106348058861,-0.8986623680713917
TCGA-C8-A1HN,1.09699047040786,-0.7462780655626993,-1.4088772173939472,0.5606922544117523
TCGA-A2-A25C,0.768769992779204,0.2342386181405117,-0.33551618425967356,-1.668371076773756
