patient_id,immune_score,emt_score,hrd_score,PI3K_score,p53_score,MYC_score
TCGA-AR-A0TR,-1.518707912312266,-0.0535543871489068,-2.74642367458992,0.41792774994394144,-0.700248600857463,-2.8842493017136515
TCGA-GM-A3XN,0.7309875521906396,0.3332663151162597,0.2381835006355494,-0.4104349379451344,0.8025658031397644,0.6721690775692736
TCGA-LL-A5YM,-0.6629216297593774,-0.229068093188564,-1.6916884966111028,-2.5595473816426524,-0.003028820032952264,-1.2326812033708916
TCGA-XX-A899,-0.2569376635324314,0.6321620961323976,0.3661021976608344,-0.36961302971565185,1.24359293138684,0.016560523426162765
TCGA-A2-A0CK,1.6509038065126806,0.0817544721199415,-0.1245539183568514,-1.3731008335060504,-0.3036414711388726,0.20013874499589282
TCGA-E9-A22D,-1.4189587743616234,2.627228496213072,-0.3561762711847379,0.8486902740968358,-0.46558160583024305,0.502433818084337
TCGA-B6-A0RM,-0.0330080530885587,-0.8374519829903158,-0.2669919497523122,0.7611277161461745,1.0348064957263519,-0.440012650070204
TCGA-AR-A0TS,1.191456921694622,1.0456469885674398,0.0280843652989421,2.2181826068956987,-0.9413857357263691,1.2205558193806896
TCGA-A2-A0YT,-0.0532214489909599,-0.0932770698228912,-1.2826611013329166,1.8379905063703772,0.8858688536014393,-0.8186641323966853
TCGA-AR-A1AY,-0.9846381788049348,-0.9351068245370636,1.4868814558356789,2.1672640220039154,-1.7515218993648813,-0.6693753681465336
TCGA-AC-A2B8,-1.1953640196552546,0.0356569540466029,0.8119517069009886,0.13069470696464652,-0.19308917788241156,-0.6360642120343607
TCGA-AQ-A54O,-0.913230005216474,0.1377706851107997,-0.6767849571576227,-1.7637377719578922,-0.44492692864332695,-3.1813593784028447
TCGA-E9-A1RA,-0.1165445077620437,-0.2296700933622016,0.3339441421131995,-0.03607453859545499,0.8340455219848801,-0.5973723992814544
TCGA-A8-A096,-0.6101870235936969,1.1076777929758597,0.9262711910179714,-0.2293040402360706,0.5934683030638106,-0.4421159976661263
TCGA-E2-A156,-0.7729688147358356,-2.408156356045677,-0.60045837242312,-0.019536878545130205,-0.44523799305879624,-1.6521278460462023
TCGA-C8-A12M,-1.1921158652636274,0.6325570454798121,-0.425022963038923,-0.05783461760903681,2.9505900176956645,0.7014202836707116
TCGA-E2-A15M,0.5693258198576736,1.0231128052378748,0.2858452999093206,-0.2087625256472466,2.0587061256728005,0.6751039811914916
TCGA-E2-A15R,1.323926676693065,-1.7712756503480425,-0.3923333642719304,-0.11606458904938233,0.1417405589247227,0.8689054503786128
TCGA-B6-A0IG,-1.0038573953854688,-0.1364902611735673,-0.2077688058740552,-0.2308707659250511,-0.3270335151818836,1.306939815994637
TCGA-BH-A0HX,-0.8360572989670472,-0.5051490791098107,0.1326388509867296,-0.39755297116909233,0.1792549274298684,0.20811189983625114
TCGA-D8-A1X6,1.684655234637766,-0.2641171565431567,-1.341507215787621,-0.4779782232032996,1.5794802872065556,-1.8210315495048424
TCGA-A8-A07F,0.3901603336811523,0.2290818160257902,0.6950555317428164,-0.6514495730995784,0.72654165999998,-0.5326577744115499
TCGA-AO-A1KO,0.9310529648719756,-0.9176394421126514,-0.6876608994469487,-0.4966918911549776,0.13296854240859107,-0.5359350834563592
TCGA-AN-A0FN,-1.4249231002619795,0.9461178884923176,2.271420151692876,-1.1648133571880364,0.3112084524703611,0.10216187907418381
TCGA-A2-A04T,-0.1502979123762025,1.461969748203454,0.4902953692303679,1.644499883781596,1.6039921631452434,0.8750687479852717
TCGA-A7-A26I,1.0181691381176587,-1.4195064451507495,1.090456366609057,-0.16976846405490695,-0.14692721862732128,-0.33890522028479714
TCGA-A8-A07J,0.5661281096400052,-0.4282149397283135,0.7494810374108464,0.0024843214166201904,-0.6285171466511066,-1.6769766967143125
TCGA-A1-A0SN,-1.076147807332841,0.758428820753276,1.176096828563095,0.5712057465156251,1.1273170528858114,0.2494940409095237
TCGA-A8-A07G,-0.2653068656071009,-0.32906451947679,1.6560356345725809,1.7452055294564557,-1.2115140741166635,-1.3128040722574408
TCGA-BH-A0DP,-0.197742820664946,0.1528720674545441,0.7045195316893759,-0.9644465496309604,-0.20434970972226413,-0.253206034516034
TCGA-D8-A1JN,1.2205948743912434,0.6875596076791728,-0.6235157296063443,0.04452479407085745,-0.5381218275168135,1.0415756134857674
TCGA-A7-A26H,1.009345849983696,0.0735255062122039,0.3604588883864253,-0.197969526456516,-0.14891803088629735,-1.26349769140418
TCGA-A2-A0T0,1.5380584280753669,0.2790309069794694,0.3613953662171829,1.768445293842964,1.5964644042909724,2.1654969556141177
TCGA-C8-A12Q,0.0045383208144073,-0.1724416711614627,0.4238118069290756,1.8187545965223653,-0.22351127771494236,-1.2171262141731374
TCGA-E2-A1BC,-1.1899233924570842,-1.152409861327181,0.5295090983794071,-0.9016034414397337,-0.19084951409105477,-0.8442467089703517
TCGA-BH-A0BF,-0.0311720631330331,1.5322203726551178,1.0165549125305704,-0.1693332624746394,-0.10387590352688378,0.294300236208717
TCGA-E9-A5UP,1.4010007693502269,-1.3703790522428498,-2.090190805083661,0.15306406819060728,-0.2755212479807871,-2.238912910248303
TCGA-B6-A0RL,0.8760026710823888,-1.383297653197623,-3.667991500022748,1.2115613517273423,1.0176357399926597,-0.9862960442856987
