patient_id,HALLMARK_ANGIOGENESIS,HALLMARK_APOPTOSIS,HALLMARK_DNA_REPAIR,HALLMARK_E2F_TARGETS,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_MYC_TARGETS_V1,HALLMARK_PI3K_AKT_MTOR_SIGNALING
TCGA-AN-A0XP,0.1213814118311328,0.0875752972677013,-0.0475253980917151,-0.637944650323275,0.0889468802261171,-0.1687465610785135,-1.0647416526512297,-0.9555682726748592
TCGA-D8-A1XK,-0.5390201747447741,0.4229741387611855,2.55288964076799,2.266942944570514,-0.5216366521207533,1.477061990529747,1.4672954372329514,-0.3978062327182111
TCGA-EW-A6S9,0.0194678383642059,-0.1287482351892256,-0.0723423499506739,0.1324029128216247,0.9987962435837706,-0.1616574610610555,-0.0419584065563693,0.1195482544398695
TCGA-A8-A08T,-0.5978374772093087,-0.7081833020638064,-0.2441647618398212,-0.5257343657509324,-0.0953130146542041,-0.8599383356730148,0.3449135749906564,0.1049122714526361
TCGA-AR-A0TP,0.0584117555732116,-1.192239304138874,0.9362926304518168,1.051639433278974,-0.0721075749720521,-1.0796613118681646,0.065080470105026,-1.098228913980389
TCGA-E2-A15D,0.3094487848903095,-0.2178113949858383,-0.5216862049788885,-1.1880717056983552,0.4776407734663526,-0.5454307656051803,-0.6945173625402726,0.3823546580266716
TCGA-B6-A0IQ,-1.4143625277266345,-1.4744400641422717,1.3424655696535102,1.7130366390091691,-1.0718093824047064,-0.9649832837495594,1.8415319479409216,-1.7165781023124913
TCGA-AN-A0XO,-0.0547087876421043,0.0048504475093183,-0.1034698752735182,-0.1498935314912473,0.6820597017956013,-0.4021045486946542,0.5731409920052634,0.1097488319351401
TCGA-BH-A0B8,-0.9224096207861832,-1.0173831906824755,0.6118774994525673,-0.0498486498379176,-0.1343230270506323,-0.937158305131952,0.7652050134917415,-1.0498802523182336
TCGA-AO-A129,0.4919250196057637,1.178664633722316,0.4160604858767537,1.1839500492841382,0.2178186652663374,0.8827405207027572,1.4366863385495356,-0.0183966819219759
TCGA-GM-A2DF,0.6828269095569413,1.370867511265736,-0.7518809915936012,0.9512289140051404,0.2398770687952894,1.061436079577604,1.0600882808959913,-0.5053758013501727
TCGA-D8-A27M,0.8679268103978369,1.2398956605142983,-0.3348313238833781,0.3325612154378987,1.273573487815859,1.5016428593816202,-1.4876235504974662,1.597035359509242
TCGA-AN-A03X,0.212268189611078,-0.6581606568847352,-1.275638779307508,-0.62366567297732,1.425879483809738,0.1143145468081612,0.1338601404748962,-0.2369566591508551
TCGA-OL-A66O,-1.7536161333109634,-0.8447496340052116,0.9545798330401066,0.7632250842832197,-0.9088106023978634,-1.668335017598414,1.7731752692283442,-3.044567458641348
TCGA-EW-A6SA,-0.9861247191186068,-1.604306062029352,1.1376065760979122,1.03256057571317,-2.0426956201034963,-2.915913373910788,0.3349126677794313,-0.2674712416164569
TCGA-BH-A5J0,0.8365719024026704,0.9567153821562212,-0.9717064966820516,-0.3494507106403646,0.8305479404192739,0.5570585511222207,0.4531297443643144,-1.3373889571775808
TCGA-BH-A0EB,0.3687449649024794,0.3793829862835604,-0.5330733913267371,-0.7313596489526778,0.6812573104728608,0.2759516875555302,-0.1883785297794432,0.2535405730294565
TCGA-B6-A0IB,-1.4408122946038104,-1.0758143017525466,0.0486230920051959,0.4107344792352992,-1.3733191419228437,-2.160653446477617,0.1160422512909574,-1.6450493513689797
